parameter_set,operation,median_ns,ci_lower_ns,ci_upper_ns
SLH-DSA-SHA2-128f,hash_sign,45158921.102,45125401.235,45277401.312
SLH-DSA-SHA2-128s,hash_sign,915994187.667,914367847.000,916481208.333
SLH-DSA-SHA2-192f,hash_sign,70102291.492,70017260.019,70155736.467
SLH-DSA-SHA2-192s,hash_sign,1484874114.500,1484244604.250,1485553104.000
SLH-DSA-SHA2-256f,hash_sign,146467628.464,146374113.633,146700258.625
SLH-DSA-SHA2-256s,hash_sign,1251254343.750,1250557896.000,1252664958.500
SLH-DSA-SHAKE-128f,hash_sign,57752292.777,57738666.657,57824559.531
SLH-DSA-SHAKE-128s,hash_sign,1148187448.000,1147524708.500,1148742843.750
SLH-DSA-SHAKE-192f,hash_sign,88317853.175,88267089.170,88530188.900
SLH-DSA-SHAKE-192s,hash_sign,1857748218.750,1857026198.000,1858849146.000
SLH-DSA-SHAKE-256f,hash_sign,181066293.839,181026824.667,181118493.067
SLH-DSA-SHAKE-256s,hash_sign,1538952531.250,1537941458.500,1539250927.000
SLH-DSA-SHA2-128f,hash_verify,1483218.994,1481964.228,1486038.621
SLH-DSA-SHA2-128s,hash_verify,539148.412,538323.972,540008.330
SLH-DSA-SHA2-192f,hash_verify,2181401.855,2177437.500,2183143.020
SLH-DSA-SHA2-192s,hash_verify,754259.360,753925.793,755051.051
SLH-DSA-SHA2-256f,hash_verify,2133025.110,2128414.971,2134710.029
SLH-DSA-SHA2-256s,hash_verify,1110225.963,1108887.576,1112258.267
SLH-DSA-SHAKE-128f,hash_verify,1855963.541,1855140.974,1856494.133
SLH-DSA-SHAKE-128s,hash_verify,656089.853,655467.551,657328.237
SLH-DSA-SHAKE-192f,hash_verify,2578802.308,2576971.181,2583310.899
SLH-DSA-SHAKE-192s,hash_verify,954648.087,953607.351,956609.374
SLH-DSA-SHAKE-256f,hash_verify,2769918.227,2764369.442,2808570.068
SLH-DSA-SHAKE-256s,hash_verify,1336240.912,1336026.112,1337124.186
SLH-DSA-SHA2-128f,keygen,1039433.191,1036373.106,1041169.444
SLH-DSA-SHA2-128s,keygen,65850237.278,65560793.742,66061759.733
SLH-DSA-SHA2-192f,keygen,1530343.114,1526634.016,1533338.140
SLH-DSA-SHA2-192s,keygen,97527406.536,97242730.833,97707573.444
SLH-DSA-SHA2-256f,keygen,4068359.919,4064981.607,4082823.054
SLH-DSA-SHA2-256s,keygen,65126498.875,65053655.533,65264989.583
SLH-DSA-SHAKE-128f,keygen,1320934.543,1319532.205,1322443.417
SLH-DSA-SHAKE-128s,keygen,84415613.628,84396878.500,84542102.083
SLH-DSA-SHAKE-192f,keygen,1939028.102,1937979.369,1941939.843
SLH-DSA-SHAKE-192s,keygen,123973384.300,123916915.662,124126375.000
SLH-DSA-SHAKE-256f,keygen,5084274.407,5081463.042,5090477.664
SLH-DSA-SHAKE-256s,keygen,81346220.500,81300375.000,81384628.487
SLH-DSA-SHA2-128f,pure_sign,45177472.610,45160797.619,45252030.870
SLH-DSA-SHA2-128s,pure_sign,916552819.333,915541291.667,917118715.333
SLH-DSA-SHA2-192f,pure_sign,70212776.875,70163686.000,70400090.267
SLH-DSA-SHA2-192s,pure_sign,1487823052.000,1486623479.000,1492551021.000
SLH-DSA-SHA2-256f,pure_sign,146655839.984,146474078.639,146746531.375
SLH-DSA-SHA2-256s,pure_sign,1253172864.500,1252106854.250,1253885979.500
SLH-DSA-SHAKE-128f,pure_sign,57733986.444,57702990.486,57760503.482
SLH-DSA-SHAKE-128s,pure_sign,1148202416.500,1147067854.000,1149607156.250
SLH-DSA-SHAKE-192f,pure_sign,88213167.704,88150636.875,88271511.133
SLH-DSA-SHAKE-192s,pure_sign,1857768291.500,1857027802.250,1859087937.500
SLH-DSA-SHAKE-256f,pure_sign,181133061.500,181094308.261,181278632.975
SLH-DSA-SHAKE-256s,pure_sign,1538482781.250,1538022614.500,1538937510.250
SLH-DSA-SHA2-128f,pure_verify,1496340.031,1494638.245,1498020.425
SLH-DSA-SHA2-128s,pure_verify,522522.539,522136.794,523943.966
SLH-DSA-SHA2-192f,pure_verify,2141085.728,2139986.839,2145498.788
SLH-DSA-SHA2-192s,pure_verify,755273.561,754160.253,756514.120
SLH-DSA-SHA2-256f,pure_verify,2193761.284,2191840.435,2196412.869
SLH-DSA-SHA2-256s,pure_verify,1103905.065,1102728.013,1105147.781
SLH-DSA-SHAKE-128f,pure_verify,1850452.729,1849952.660,1851921.518
SLH-DSA-SHAKE-128s,pure_verify,603336.262,603017.605,604069.827
SLH-DSA-SHAKE-192f,pure_verify,2638297.060,2635187.755,2641511.907
SLH-DSA-SHAKE-192s,pure_verify,902779.634,902220.132,903499.797
SLH-DSA-SHAKE-256f,pure_verify,2724948.017,2724350.859,2730583.949
SLH-DSA-SHAKE-256s,pure_verify,1262896.932,1262609.706,1264672.453
