run_id,operation,profile,mean_point_ns,mean_ci_low_ns,mean_ci_high_ns,median_point_ns,median_ci_low_ns,median_ci_high_ns
2026-08-15-m4-e3-run02,open_1k,MLKEM768,6276.16781861185,6267.99598021695,6285.576927656154,6270.831215686274,6264.485401234568,6274.082038594755
2026-08-15-m4-e3-run02,open_1k,MLKEM768-X25519,6274.91349523756,6266.922337928278,6282.908389437352,6266.124154111338,6264.145283975659,6272.185483870968
2026-08-15-m4-e3-run02,seal_1k,MLKEM768,6204.037133074965,6196.779062363506,6212.505672112992,6193.110518449805,6191.099624060151,6195.217240338165
2026-08-15-m4-e3-run02,seal_1k,MLKEM768-X25519,6222.21207751896,6203.084872823288,6256.816281277138,6201.2787990196075,6196.705813953488,6205.831428571429
2026-08-15-m4-e3-run02,setup_receiver,MLKEM768,123348.02475328805,123263.59028572704,123447.47186708651,123274.17322312896,123245.38095238095,123308.07654320987
2026-08-15-m4-e3-run02,setup_receiver,MLKEM768-X25519,152741.1857333151,152638.73815247093,152874.9462679691,152652.0096281899,152602.5293877551,152701.49587136973
2026-08-15-m4-e3-run02,setup_sender,MLKEM768,68664.14528737668,68586.67008053962,68749.41165474549,68642.43561253561,68578.65853658537,68745.86037735849
2026-08-15-m4-e3-run02,setup_sender,MLKEM768-X25519,98709.82858588966,98627.06731762966,98800.13156945404,98637.11857518528,98557.78824833703,98729.16783216783
2026-08-15-m4-e3-run03,open_1k,MLKEM768,6272.435731268474,6265.8051064422225,6279.383630020725,6265.735304347826,6263.811128205129,6267.941176470588
2026-08-15-m4-e3-run03,open_1k,MLKEM768-X25519,6273.3747720194515,6264.796517033611,6283.715109644004,6262.250776397515,6260.677215189873,6265.136363636364
2026-08-15-m4-e3-run03,seal_1k,MLKEM768,6200.560279855609,6195.637706509704,6206.370370290199,6191.370879120879,6189.932339315037,6193.690476190476
2026-08-15-m4-e3-run03,seal_1k,MLKEM768-X25519,6217.901043980175,6208.2116177569005,6228.792429134313,6196.988405797101,6195.2692307692305,6199.467545180723
2026-08-15-m4-e3-run03,setup_receiver,MLKEM768,123335.72749113105,123257.06579125157,123437.06992503499,123252.12862654321,123206.6746031746,123303.51685556525
2026-08-15-m4-e3-run03,setup_receiver,MLKEM768-X25519,152740.90345650702,152637.33226962463,152867.07145498178,152623.00428827445,152557.00952380954,152664.70250368188
2026-08-15-m4-e3-run03,setup_sender,MLKEM768,69045.7350082516,68678.02180794945,69744.55151985228,68676.11,68620.75677655678,68753.83225490196
2026-08-15-m4-e3-run03,setup_sender,MLKEM768-X25519,99045.87157734923,98968.57327345638,99132.92128255013,98944.73430369787,98906.49038461539,98960.19736842105
2026-08-15-m4-e3-run04,open_1k,MLKEM768,6271.775663829036,6262.421776110666,6283.285392351424,6263.325764306245,6259.450476190476,6269.606451612904
2026-08-15-m4-e3-run04,open_1k,MLKEM768-X25519,6268.6810089170385,6262.79446510527,6274.251836157742,6264.185846560847,6260.410851099266,6269.8452380952385
2026-08-15-m4-e3-run04,seal_1k,MLKEM768,6202.302038736073,6195.916802208181,6209.7426006461765,6189.510186548847,6186.939053426248,6194.476600985222
