operation,profile,runs,cross_run_mean_ns,cross_run_median_ns,cross_run_stdev_ns,cross_run_cv,cross_run_min_ns,cross_run_max_ns
activate_receiver,MLKEM1024,5,210104.3974747464,209767.65799591376,976.2092485349475,0.004646305647421223,209504.06082475506,211837.81816919163
activate_receiver,MLKEM768,5,140922.7392701095,140963.7813905866,191.51990307729,0.0013590418698163386,140719.98013814216,141134.17879376197
activate_receiver,MLKEM768-X25519,5,170049.1170104454,169946.95534880244,498.91959115906207,0.002933973430326107,169598.68402369556,170852.13132475677
activate_sender,MLKEM1024,5,134569.70780568352,134491.7980741968,263.1576682553679,0.00195554907970346,134356.7865320697,135018.8314953283
activate_sender,MLKEM768,5,88416.89809819081,88375.86794795394,76.81545681021346,0.0008687870583845472,88348.99013228389,88528.1476117524
activate_sender,MLKEM768-X25519,5,122737.20802323683,123122.76514054774,732.687817678995,0.005969565623003915,121877.19727809234,123505.77296047013
binding,MLKEM1024,5,15.900035000955791,15.84915342778773,0.08795787480507998,0.005531929634104114,15.828299788598004,16.03049745867359
binding,MLKEM768,5,15.919816696099847,15.91206657800251,0.06330414992116898,0.003976437111658308,15.837672301004357,15.997045238679709
binding,MLKEM768-X25519,5,15.950230015514009,15.910263953621293,0.09170244206153859,0.005749286497583051,15.86088247997937,16.067501914987407
establish_channel,MLKEM1024,5,332934.7323741845,332705.8773476048,573.1925293228364,0.001721636325640627,332241.7735585553,333592.7353943352
establish_channel,MLKEM768,5,219133.70772220148,219136.55229999576,180.17616123765583,0.0008222202011297476,218874.02615102078,219379.0132306682
establish_channel,MLKEM768-X25519,5,281817.8715215398,281118.9292079759,1702.7370540742888,0.006041976844410826,279912.64389902784,284252.89392521104
negotiation,MLKEM1024,5,2.779434242265766,2.763550860546973,0.04316415737116695,0.01552983578988362,2.7348071777313767,2.8488586152341644
negotiation,MLKEM768,5,2.8444032843872535,2.8641391104874008,0.07283089504823456,0.025604982053001647,2.729185195356123,2.9261537833452116
negotiation,MLKEM768-X25519,5,2.762224642745786,2.750453084509684,0.02313865268445038,0.00837681784688208,2.7410103570139053,2.7982985484934644
open_1k,MLKEM1024,5,6138.00198131766,6133.99320128795,11.034159784921206,0.001797679410744093,6129.649415455811,6156.021704730843
open_1k,MLKEM768,5,6134.864311267166,6119.554925685126,35.32704252972293,0.00575840650050597,6116.482088727458,6197.936315908246
open_1k,MLKEM768-X25519,5,6125.943333576365,6125.793295848823,5.9779167924107925,0.0009758361230091311,6119.54437462463,6132.466766286487
profile_resolution,MLKEM1024,5,14.698375801440232,14.692484733488714,0.03604750989096279,0.0024524825312624435,14.647246861095159,14.740104441609748
profile_resolution,MLKEM768,5,14.380328232828528,14.341113723822662,0.1031967049190533,0.0071762412685037235,14.300036767904869,14.560855697187693
profile_resolution,MLKEM768-X25519,5,12.521515932334157,12.506979808256906,0.041240580081117764,0.0032935772556598134,12.495482896050028,12.593750797664562
seal_1k,MLKEM1024,5,6122.7866599561685,6119.435327557584,15.707528223820159,0.002565421448790542,6110.347554551155,6150.016234482353
seal_1k,MLKEM768,5,6129.8093201112615,6110.6072117121685,46.69135925226855,0.007617098153294768,6102.010074967443,6212.685536345726
seal_1k,MLKEM768-X25519,5,6111.425101757804,6105.539185813357,12.717581742612797,0.0020809519107016284,6101.16652826056,6131.924693391279
